ProductKey,product_item_code,subcategory,productcategory,EnglishProductName,Color,Size,ProductLine,ModelName,EnglishDescription,Product_Status
210,FR-R92B-58,Road Frames,Components,"HL Road Frame - Black, 58",Black,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
211,FR-R92R-58,Road Frames,Components,"HL Road Frame - Red, 58",Red,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
212,HL-U509-R,Helmets,Accessories,"Sport-100 Helmet, Red",Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
213,HL-U509-R,Helmets,Accessories,"Sport-100 Helmet, Red",Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
214,HL-U509-R,Helmets,Accessories,"Sport-100 Helmet, Red",Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
215,HL-U509,Helmets,Accessories,"Sport-100 Helmet, Black",Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
216,HL-U509,Helmets,Accessories,"Sport-100 Helmet, Black",Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
217,HL-U509,Helmets,Accessories,"Sport-100 Helmet, Black",Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
218,SO-B909-M,Socks,Clothing,"Mountain Bike Socks, M",White,M,"M ",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate
219,SO-B909-L,Socks,Clothing,"Mountain Bike Socks, L",White,L,"M ",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate
220,HL-U509-B,Helmets,Accessories,"Sport-100 Helmet, Blue",Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
221,HL-U509-B,Helmets,Accessories,"Sport-100 Helmet, Blue",Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
222,HL-U509-B,Helmets,Accessories,"Sport-100 Helmet, Blue",Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
223,CA-1098,Caps,Clothing,AWC Logo Cap,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Outdate
224,CA-1098,Caps,Clothing,AWC Logo Cap,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Outdate
225,CA-1098,Caps,Clothing,AWC Logo Cap,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Current
226,LJ-0192-S,Jerseys,Clothing,"Long-Sleeve Logo Jersey, S",Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
227,LJ-0192-S,Jerseys,Clothing,"Long-Sleeve Logo Jersey, S",Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
228,LJ-0192-S,Jerseys,Clothing,"Long-Sleeve Logo Jersey, S",Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
229,LJ-0192-M,Jerseys,Clothing,"Long-Sleeve Logo Jersey, M",Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
230,LJ-0192-M,Jerseys,Clothing,"Long-Sleeve Logo Jersey, M",Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
231,LJ-0192-M,Jerseys,Clothing,"Long-Sleeve Logo Jersey, M",Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
232,LJ-0192-L,Jerseys,Clothing,"Long-Sleeve Logo Jersey, L",Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
233,LJ-0192-L,Jerseys,Clothing,"Long-Sleeve Logo Jersey, L",Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
234,LJ-0192-L,Jerseys,Clothing,"Long-Sleeve Logo Jersey, L",Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
235,LJ-0192-X,Jerseys,Clothing,"Long-Sleeve Logo Jersey, XL",Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
236,LJ-0192-X,Jerseys,Clothing,"Long-Sleeve Logo Jersey, XL",Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
237,LJ-0192-X,Jerseys,Clothing,"Long-Sleeve Logo Jersey, XL",Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
238,FR-R92R-62,Road Frames,Components,"HL Road Frame - Red, 62",Red,62,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
239,FR-R92R-62,Road Frames,Components,"HL Road Frame - Red, 62",Red,62,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
240,FR-R92R-62,Road Frames,Components,"HL Road Frame - Red, 62",Red,62,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
241,FR-R92R-44,Road Frames,Components,"HL Road Frame - Red, 44",Red,44,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
242,FR-R92R-44,Road Frames,Components,"HL Road Frame - Red, 44",Red,44,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
243,FR-R92R-44,Road Frames,Components,"HL Road Frame - Red, 44",Red,44,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
244,FR-R92R-48,Road Frames,Components,"HL Road Frame - Red, 48",Red,48,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
245,FR-R92R-48,Road Frames,Components,"HL Road Frame - Red, 48",Red,48,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
246,FR-R92R-48,Road Frames,Components,"HL Road Frame - Red, 48",Red,48,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
247,FR-R92R-52,Road Frames,Components,"HL Road Frame - Red, 52",Red,52,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
248,FR-R92R-52,Road Frames,Components,"HL Road Frame - Red, 52",Red,52,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
249,FR-R92R-52,Road Frames,Components,"HL Road Frame - Red, 52",Red,52,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
250,FR-R92R-56,Road Frames,Components,"HL Road Frame - Red, 56",Red,56,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
251,FR-R92R-56,Road Frames,Components,"HL Road Frame - Red, 56",Red,56,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
252,FR-R92R-56,Road Frames,Components,"HL Road Frame - Red, 56",Red,56,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
253,FR-R38B-58,Road Frames,Components,"LL Road Frame - Black, 58",Black,58,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
254,FR-R38B-58,Road Frames,Components,"LL Road Frame - Black, 58",Black,58,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
255,FR-R38B-58,Road Frames,Components,"LL Road Frame - Black, 58",Black,58,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
256,FR-R38B-60,Road Frames,Components,"LL Road Frame - Black, 60",Black,60,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
257,FR-R38B-60,Road Frames,Components,"LL Road Frame - Black, 60",Black,60,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
258,FR-R38B-60,Road Frames,Components,"LL Road Frame - Black, 60",Black,60,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
259,FR-R38B-62,Road Frames,Components,"LL Road Frame - Black, 62",Black,62,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
260,FR-R38B-62,Road Frames,Components,"LL Road Frame - Black, 62",Black,62,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
261,FR-R38B-62,Road Frames,Components,"LL Road Frame - Black, 62",Black,62,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
262,FR-R38R-44,Road Frames,Components,"LL Road Frame - Red, 44",Red,44,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
263,FR-R38R-44,Road Frames,Components,"LL Road Frame - Red, 44",Red,44,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
264,FR-R38R-48,Road Frames,Components,"LL Road Frame - Red, 48",Red,48,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
265,FR-R38R-48,Road Frames,Components,"LL Road Frame - Red, 48",Red,48,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
266,FR-R38R-52,Road Frames,Components,"LL Road Frame - Red, 52",Red,52,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
267,FR-R38R-52,Road Frames,Components,"LL Road Frame - Red, 52",Red,52,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
268,FR-R38R-58,Road Frames,Components,"LL Road Frame - Red, 58",Red,58,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
269,FR-R38R-58,Road Frames,Components,"LL Road Frame - Red, 58",Red,58,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
270,FR-R38R-60,Road Frames,Components,"LL Road Frame - Red, 60",Red,60,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
271,FR-R38R-60,Road Frames,Components,"LL Road Frame - Red, 60",Red,60,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
272,FR-R38R-62,Road Frames,Components,"LL Road Frame - Red, 62",Red,62,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
273,FR-R38R-62,Road Frames,Components,"LL Road Frame - Red, 62",Red,62,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
274,FR-R72R-44,Road Frames,Components,"ML Road Frame - Red, 44",Red,44,"R ",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Outdate
275,FR-R72R-48,Road Frames,Components,"ML Road Frame - Red, 48",Red,48,"R ",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Outdate
276,FR-R72R-52,Road Frames,Components,"ML Road Frame - Red, 52",Red,52,"R ",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Outdate
277,FR-R72R-58,Road Frames,Components,"ML Road Frame - Red, 58",Red,58,"R ",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Outdate
278,FR-R72R-60,Road Frames,Components,"ML Road Frame - Red, 60",Red,60,"R ",ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",Outdate
279,FR-R38B-44,Road Frames,Components,"LL Road Frame - Black, 44",Black,44,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
280,FR-R38B-44,Road Frames,Components,"LL Road Frame - Black, 44",Black,44,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
281,FR-R38B-44,Road Frames,Components,"LL Road Frame - Black, 44",Black,44,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
282,FR-R38B-48,Road Frames,Components,"LL Road Frame - Black, 48",Black,48,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
283,FR-R38B-48,Road Frames,Components,"LL Road Frame - Black, 48",Black,48,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
284,FR-R38B-48,Road Frames,Components,"LL Road Frame - Black, 48",Black,48,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
285,FR-R38B-52,Road Frames,Components,"LL Road Frame - Black, 52",Black,52,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
286,FR-R38B-52,Road Frames,Components,"LL Road Frame - Black, 52",Black,52,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Outdate
287,FR-R38B-52,Road Frames,Components,"LL Road Frame - Black, 52",Black,52,"R ",LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",Current
288,FR-M94S-42,Mountain Frames,Components,"HL Mountain Frame - Silver, 42",Silver,42,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
289,FR-M94S-42,Mountain Frames,Components,"HL Mountain Frame - Silver, 42",Silver,42,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
290,FR-M94S-42,Mountain Frames,Components,"HL Mountain Frame - Silver, 42",Silver,42,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
291,FR-M94S-44,Mountain Frames,Components,"HL Mountain Frame - Silver, 44",Silver,44,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
292,FR-M94S-52,Mountain Frames,Components,"HL Mountain Frame - Silver, 48",Silver,48,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
293,FR-M94S-46,Mountain Frames,Components,"HL Mountain Frame - Silver, 46",Silver,46,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
294,FR-M94S-46,Mountain Frames,Components,"HL Mountain Frame - Silver, 46",Silver,46,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
295,FR-M94S-46,Mountain Frames,Components,"HL Mountain Frame - Silver, 46",Silver,46,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
296,FR-M94B-42,Mountain Frames,Components,"HL Mountain Frame - Black, 42",Black,42,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
297,FR-M94B-42,Mountain Frames,Components,"HL Mountain Frame - Black, 42",Black,42,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
298,FR-M94B-42,Mountain Frames,Components,"HL Mountain Frame - Black, 42",Black,42,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
299,FR-M94B-44,Mountain Frames,Components,"HL Mountain Frame - Black, 44",Black,44,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
300,FR-M94B-48,Mountain Frames,Components,"HL Mountain Frame - Black, 48",Black,48,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
301,FR-M94B-46,Mountain Frames,Components,"HL Mountain Frame - Black, 46",Black,46,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
302,FR-M94B-46,Mountain Frames,Components,"HL Mountain Frame - Black, 46",Black,46,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
303,FR-M94B-46,Mountain Frames,Components,"HL Mountain Frame - Black, 46",Black,46,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
304,FR-M94B-38,Mountain Frames,Components,"HL Mountain Frame - Black, 38",Black,38,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
305,FR-M94B-38,Mountain Frames,Components,"HL Mountain Frame - Black, 38",Black,38,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
306,FR-M94B-38,Mountain Frames,Components,"HL Mountain Frame - Black, 38",Black,38,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
307,FR-M94S-38,Mountain Frames,Components,"HL Mountain Frame - Silver, 38",Silver,38,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
308,FR-M94S-38,Mountain Frames,Components,"HL Mountain Frame - Silver, 38",Silver,38,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Outdate
309,FR-M94S-38,Mountain Frames,Components,"HL Mountain Frame - Silver, 38",Silver,38,"M ",HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,Current
310,BK-R93R-62,Road Bikes,Bikes,"Road-150 Red, 62",Red,62,"R ",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Outdate
311,BK-R93R-44,Road Bikes,Bikes,"Road-150 Red, 44",Red,44,"R ",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Outdate
312,BK-R93R-48,Road Bikes,Bikes,"Road-150 Red, 48",Red,48,"R ",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Outdate
313,BK-R93R-52,Road Bikes,Bikes,"Road-150 Red, 52",Red,52,"R ",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Outdate
314,BK-R93R-56,Road Bikes,Bikes,"Road-150 Red, 56",Red,56,"R ",Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.",Outdate
315,BK-R68R-58,Road Bikes,Bikes,"Road-450 Red, 58",Red,58,"R ",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Outdate
316,BK-R68R-60,Road Bikes,Bikes,"Road-450 Red, 60",Red,60,"R ",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Outdate
317,BK-R68R-44,Road Bikes,Bikes,"Road-450 Red, 44",Red,44,"R ",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Outdate
318,BK-R68R-48,Road Bikes,Bikes,"Road-450 Red, 48",Red,48,"R ",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Outdate
319,BK-R68R-52,Road Bikes,Bikes,"Road-450 Red, 52",Red,52,"R ",Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.",Outdate
320,BK-R50R-58,Road Bikes,Bikes,"Road-650 Red, 58",Red,58,"R ",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Outdate
321,BK-R50R-58,Road Bikes,Bikes,"Road-650 Red, 58",Red,58,"R ",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Outdate
322,BK-R50R-60,Road Bikes,Bikes,"Road-650 Red, 60",Red,60,"R ",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Outdate
323,BK-R50R-60,Road Bikes,Bikes,"Road-650 Red, 60",Red,60,"R ",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Outdate
324,BK-R50R-62,Road Bikes,Bikes,"Road-650 Red, 62",Red,62,"R ",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Outdate
325,BK-R50R-62,Road Bikes,Bikes,"Road-650 Red, 62",Red,62,"R ",Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",Outdate
